wallet_address,winner
0x597005d6f2dde976b46cbd5550db9fab5dae173c,TRUE
0xdc71d1d80d893e96b6ce87431647cd29c0f1e1cb,TRUE
0x1ed4447ebf072d4052263164e732af0e3930a709,TRUE
0x2aef82f62fb135ea63d80a43ee0ea1a6d028f53a,TRUE
0x236446b98087bc8ac9cfae6c176189b4a3139acd,TRUE
0x0133f65ecb4e7560805457809e36229513151650,TRUE
0xdfd8dbf21e667ed56a51004991637f901ba199e7,TRUE
0xdce203b83715194bb63017d4d6f9ce9fc2b1747a,TRUE
0xe80cc1600bfc4994f42cdbcbfc783a560e40e81a,TRUE
0xd7d5abb20ebad2170bee4545e689e4af2e5915a9,TRUE
0x95c489b3f4ad634ae13704bd10ca8411aa63771d,TRUE
0x872d90246cb68a446cea5748424ea7005a914e7b,TRUE
0x83e8708aba59195bbb2c7fcaa83af1c536d37b25,TRUE
0x57eed066424c7d0b00f512d210fef4e432e7217c,TRUE
0xdd49aa1b8368cf7e6b4d04df4521ab987b6549c3,TRUE
0x803164e9c922112fe5a39bfc75381fff7fa36027,TRUE
0xd407f98c1a3c5f97e61180d6adf714fcfc2a7e12,TRUE
0x303a82af561556ddd1d09b08596e714b9217b01f,TRUE
0x40b431335533b3ddb4e2fce2988f0f38b137cf90,TRUE
0x3a1c538518099a5d0287ce23dd82313e3bf4b038,TRUE
0x430a715eb34056d567cf19bf338f3e9fc73ffc9f,TRUE
0x67347cbc6e72f060881e31e58725050c8fda3ae4,TRUE
0x69451e47b352a37fa15a0899ea60cfc99e3c5915,TRUE
0xd63f51122663aba57079af86a67f70c0ee8cc401,TRUE
0x3f848a4418db4b85582df19bff10f2f48ec65b4c,TRUE
0xa478e90b3ed81c63e1963ce9ffca3c2b5b41a28c,TRUE
0x8a23dda58b5aab3f0f64ccefa518230f56235814,TRUE
0x5f335db4e0547a10d59b1a3c6d7ad61915edf2f1,TRUE
0xb51e80ce3658ffb81c80cd05a67727d057e4bd37,TRUE
0x71baefe59151f56983855607456df3b12f81314c,TRUE
0x5cc1ec6730d43e2fa7ec0c9fc4ff0d132f70eb2e,TRUE
0x2e2123cedbf39aa2bf5e8a33f07f6f8ebbf2bbd0,TRUE
0x43f5bfaf9fdcbb59e13f20a7664ea94bcb0fa577,TRUE
0xa4aa4f6012c76ce555121a6554fcddc5b9507379,TRUE
0x1e49515f9233e5c5865453f0dff9d346dcc3b261,TRUE
0x2b72a427fe696cbfa70c2884b94564fb0679fa94,TRUE
0xdcea70ec357358cd3196a0e32fe5f031b67c6791,TRUE
0xe2ee23e00812537d407464517baeaab8d0380ffa,TRUE
0x05f98985d33976bd1a7d46e24e7ec66325366a2e,TRUE
0x83f3b1a2ae2b2addf03f80f33e3bcd7caa1ee73c,TRUE
0xb169d0807b7fb85b038ce265333180595be0e030,TRUE
0x9dddc04f103a1153450423408a518139d5ca4d67,TRUE
0x2fe98902b18817197e1eca66fb297d1c61e0034a,TRUE
0xb9f4cdd9ede4f8cb42a1a8348397487973c62509,TRUE
0xc83f0524d199f59a14cfb8ab116c1c7e4bc90ebd,TRUE
0x9840E94559476000a4c3ebA49849D1ced96E9Be3,TRUE
0x6c1cd961568f01747c6cdd95ae7b3e528bcc44c0,TRUE
0x1ffd5a91d2d1e6865980895ddd9faa7b844330db,TRUE
0xc0715b2f84c9de9a73dd0fc670cb6187457790c9,TRUE
0xd78034c72f0bfde16de16580efa30baa26cf713f,TRUE
0x8219d584ef5c29c12eba70ca84e9d0eca11e2c83,TRUE
0x2c62740d6f02f28eeeae28033bedab7c427e3a29,TRUE
0x0a0e7730ee6df3dceb555658a6a75243387141e6,TRUE
0x9143aa81feddda4e7528863ae062908c3add016b,TRUE
0x4b64f4d2fbf249bbb87b8c198685615bf0b310df,TRUE
0x56045799b1475682eb862c532df057cc9abc1639,TRUE
0x2f4c0ae332e7d21df26c28fa8964a566d8e7362d,TRUE
0x9f3e77cb89df964003053aa5b438e5697c77f4f9,TRUE
0x2aa189ca84d3c4734a9ebf5858fe95b84f4f2c2a,TRUE
0xf845e6908b0803f54e05253c040efe0a571aa91b,TRUE
0x3ff74f5524259b4b5e3b9163d8a14b42defb9a71,TRUE
